source,reservoir_id,reservoir_name,basin,rise_item_ids,latitude,longitude,elevation_ft,county,start_date,end_date,notes
dwr_cdss,GRORESCO,"GROUNDHOG RESERVOIR NEAR DUNTON, CO",71,,37.791316,-108.290648,,Dolores,2011-09-27,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,GROSRECO,Gross Reservoir,South Boulder,,39.94771,-105.357318,,Boulder,2017-04-06,2021-09-20,confirmed CDSS abbrev
dwr_cdss,GUARESCO,GUANELLA RESERVOIR,7,,39.758782,-105.694783,,Clear Creek,2000-01-15,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,HARTLKCO,HEART LAKE RESERVOIR,53,,39.771753,-107.319038,,Garfield,2021-10-06,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,HAVRESCO,HAVILAND LAKE RESERVOIR,30,,37.532021,-107.807296,,La Plata,2022-05-03,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,HENRESCO,LAKE HENRY RESERVOIR (CONTENT),17,,38.256096,-103.719974,,Crowley,1988-09-02,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,HOLRESCO,HOLBROOK RESERVOIR,17,,38.060176,-103.602366,,Otero,2016-08-03,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,HOMRESCO,HOMESTAKE RESERVOIR,37,,39.36898,-106.462977,,Eagle,1991-08-22,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,HORTOOCO,HORSETOOTH RESERVOIR,3,,40.600539,-105.171379,,Larimer,1997-06-03,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,IDSRESCO,"IDAHO SPRINGS STORAGE RESERVOIR ABOVE IDAHO SPRINGS, CO",7,,39.646341,-105.617164,,Clear Creek,2016-06-24,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,IVALAKCO,IVANHOE LAKE,38,,39.272971,-106.508576,,Pitkin,2019-10-01,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,JACRESCO,JACKSON GULCH RESERVOIR,34,,37.398753,-108.273512,,Montezuma,2015-11-18,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,JBRRESCO,JIM BAKER RESERVOIR,7,,39.804979,-105.035418,,Adams,2022-01-20,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,JEFLAKCO,"JEFFERSON LAKE NEAR JEFFERSON, CO",23,,39.450614,-105.862721,,Park,2013-07-02,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,JMRCADCO,"JOHN MARTIN RESERVOIR AT CADDOA, CO.",67,,38.067144,-102.936737,,Bent,1985-04-15,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,KENRESCO,KENDRICK LAKE,8,,39.683723,-105.104567,,Jefferson,2020-04-07,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,LAJRESCO,LA JARA RESERVOIR,21,,37.244845,-106.340027,,Conejos,2016-07-18,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,LAKMINCO,LAKE MINNEQUA,14,,38.232044,-104.627913,,Pueblo,2020-10-01,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,LBBRESCO,LOWER BEAVER BROOK RESERVOIR,7,,39.70557,-105.41108,,Clear Creek,2022-12-23,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,LEVRESCO,LEGGETT-VALMONT RESERVOIR,6,,40.018895,-105.200945,,Boulder,2024-01-02,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,LKISBLCO,SAN ISABEL LAKE,15,,37.984556,-105.049796,,Pueblo,2016-10-07,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,LOMRESCO,LOCH LOMOND RESERVOIR,7,,39.835325,-105.677849,,Clear Creek,2025-10-22,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,LONRESCO,"LONG HOLLOW RESERVOIR NEAR RED MESA, CO",33,,37.058166,-108.174993,,La Plata,2014-09-25,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,MARYLACO,MARY'S LAKE AT ESTES PARK,4,,40.34407,-105.534215,,Larimer,1995-01-13,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,MCPRESCO,MCPHEE RESERVOIR,71,,37.57581,-108.570735,,Montezuma,2016-08-31,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,MERRESCO,MEREDITH RESERVOIR (CONTENT),17,,38.148065,-103.747188,,Crowley,1988-09-02,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,MTELFBCO,"MOUNT ELBERT FOREBAY, CO",11,,39.102227,-106.353344,,Lake,2008-06-25,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,MTNRESCO,MOUNTAIN HOME RESERVOIR,35,,37.39348,-105.394053,,Costilla,1990-10-30,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,NMIRESCO,"NORTH MICHIGAN CREEK RESERVOIR NEAR GOULD, CO",47,,40.553272,-106.008674,,Jackson,2021-04-05,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,NSARESCO,NORTH FORK RESERVOIR ON N. FORK OF S. ARKANSAS RIVER,11,,38.610544,-106.320661,,Chaffee,2012-04-04,2026-06-22,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,OHVRRSCO,O'HAVER RESERVOIR,11,,38.426,-106.146555,,Chaffee,2012-04-07,2026-06-22,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,OLYDAMCO,OLYMPUS DAM AT LAKE ESTES,4,,40.375583,-105.487675,,Larimer,1994-11-22,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,PEARLACO,PEARL LAKE,58,,40.779421,-106.888969,,Routt,1997-10-18,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,PINRESCO,PINEWOOD RESERVOIR,4,,40.368148,-105.286431,,Larimer,2012-02-15,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,PISRESCO,MT PISGAH RESERVOIR,12,,38.793705,-105.273447,,Teller,2012-04-05,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,PLARESCO,PLATORO RESERVOIR,22,,37.351954,-106.544488,,Conejos,1987-06-17,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,POMLAKCO,POMONA RESERVOIR 2 & 3,7,,39.843579,-105.095996,,Jefferson,2020-07-14,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,RBLRESCO,RAINBOW LAKE RESERVOIR,11,,38.810819,-106.31994,,Chaffee,2012-04-07,2026-06-22,"auto-enumerated (CDSS telemetrystation, STORAGE)"
